,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CurrentJobTitleSelect,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,FormalEducation,MajorSelect,Tenure,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther
13041,Male,India,28.0,Employed full-time,Yes,Engineer,R,Deep learning,Python,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,Self-taught,60.0,20.0,20.0,0.0,0.0,0.0
13043,Male,Germany,41.0,Employed full-time,Yes,Other,Amazon Machine Learning,Deep learning,Python,Bachelor's degree,Other,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
13044,Male,India,23.0,Employed full-time,No,Software Developer/Software Engineer,R,Deep learning,Python,Bachelor's degree,Computer Science,Less than a year,Self-taught,80.0,10.0,0.0,0.0,10.0,0.0
13045,Male,Portugal,37.0,Employed part-time,Yes,Scientist/Researcher,Java,Deep learning,C/C++/C#,Doctoral degree,Physics,3 to 5 years,University courses,40.0,25.0,10.0,15.0,10.0,0.0
13046,Male,Brazil,47.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,TensorFlow,Deep learning,Python,Some college/university study without earning a bachelor's degree,Mathematics or statistics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",10.0,10.0,60.0,0.0,20.0,0.0
13047,Male,Other,21.0,Employed part-time,No,Statistician,C/C++,Deep learning,C/C++/C#,Bachelor's degree,Computer Science,I don't write code to analyze data,Self-taught,60.0,0.0,0.0,40.0,0.0,0.0
13049,Male,Poland,26.0,Employed full-time,No,Other,Other,Deep learning,Python,Master's degree,Mathematics or statistics,Less than a year,Other,30.0,25.0,0.0,5.0,10.0,30.0
13050,Male,Other,28.0,Employed full-time,Yes,Business Analyst,Python,Deep learning,R,Master's degree,"Information technology, networking, or system administration",1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",15.0,30.0,10.0,35.0,0.0,10.0
13052,Male,India,60.0,Employed full-time,Yes,Scientist/Researcher,Other,I don't plan on learning a new ML/DS method,Python,Doctoral degree,Physics,6 to 10 years,Self-taught,60.0,20.0,20.0,0.0,0.0,0.0
13053,Male,United Kingdom,41.0,Employed full-time,Yes,Programmer,I don't plan on learning a new tool/technology,Genetic & Evolutionary Algorithms,Python,Bachelor's degree,Computer Science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",50.0,20.0,10.0,0.0,20.0,0.0
13058,Male,United Kingdom,57.0,Retired,Yes,Engineer,Python,Time Series Analysis,Python,Doctoral degree,Electrical Engineering,More than 10 years,Self-taught,90.0,0.0,0.0,0.0,10.0,0.0
13059,Male,Brazil,52.0,Employed full-time,Yes,Scientist/Researcher,Jupyter notebooks,Deep learning,Python,Doctoral degree,Mathematics or statistics,More than 10 years,University courses,30.0,0.0,20.0,50.0,0.0,0.0
13060,Male,India,20.0,Employed part-time,Yes,Scientist/Researcher,Spark / MLlib,Genetic & Evolutionary Algorithms,Python,Bachelor's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",50.0,25.0,25.0,0.0,0.0,0.0
13061,Male,France,49.0,Employed full-time,Yes,Data Analyst,TensorFlow,Deep learning,R,Doctoral degree,Biology,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",10.0,70.0,20.0,0.0,0.0,0.0
13065,Male,Brazil,38.0,Employed full-time,Yes,Data Scientist,I don't plan on learning a new tool/technology,Deep learning,Python,Doctoral degree,A health science,6 to 10 years,Self-taught,80.0,10.0,0.0,10.0,0.0,0.0
13066,Male,India,25.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Social Network Analysis,Python,Master's degree,Electrical Engineering,1 to 2 years,University courses,35.0,10.0,5.0,40.0,5.0,5.0
13067,Male,India,25.0,Employed full-time,Yes,Data Miner,Spark / MLlib,Deep learning,Python,Master's degree,Computer Science,1 to 2 years,Work,30.0,5.0,40.0,5.0,20.0,0.0
13068,Male,Canada,25.0,Employed full-time,Yes,Scientist/Researcher,C/C++,Deep learning,Python,Bachelor's degree,Other,1 to 2 years,Self-taught,80.0,0.0,0.0,10.0,10.0,0.0
13074,Male,Greece,35.0,Employed full-time,Yes,Statistician,Hadoop/Hive/Pig,Text Mining,R,Master's degree,Mathematics or statistics,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",0.0,70.0,0.0,0.0,30.0,0.0
13078,Male,India,40.0,Employed full-time,No,Other,R,Regression,R,Master's degree,Mathematics or statistics,Less than a year,"Online courses (coursera, udemy, edx, etc.)",20.0,40.0,15.0,15.0,10.0,0.0
13080,Male,United States,67.0,Employed full-time,Yes,Other,Tableau,Genetic & Evolutionary Algorithms,C/C++/C#,Master's degree,Electrical Engineering,More than 10 years,University courses,60.0,0.0,20.0,10.0,0.0,10.0
13081,Male,Denmark,30.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,Computer Science,3 to 5 years,University courses,30.0,10.0,10.0,40.0,10.0,0.0
13082,Male,Switzerland,25.0,Employed part-time,Yes,Data Scientist,Microsoft R Server (Formerly Revolution Analytics),I don't plan on learning a new ML/DS method,R,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,University courses,40.0,0.0,30.0,30.0,0.0,0.0
13087,Male,Pakistan,32.0,Employed full-time,Yes,Statistician,R,Regression,R,Master's degree,Mathematics or statistics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",5.0,30.0,15.0,10.0,20.0,20.0
13090,Female,Other,31.0,Employed full-time,No,Other,Microsoft Azure Machine Learning,Support Vector Machines (SVM),Python,Master's degree,Management information systems,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",40.0,30.0,0.0,10.0,20.0,0.0
13105,Female,United States,27.0,Employed part-time,No,Engineer,TensorFlow,Other,Python,Master's degree,Engineering (non-computer focused),Less than a year,University courses,30.0,30.0,3.0,30.0,7.0,0.0
13109,Male,United States,27.0,Employed full-time,No,Software Developer/Software Engineer,R,Genetic & Evolutionary Algorithms,R,Bachelor's degree,Other,Less than a year,"Online courses (coursera, udemy, edx, etc.)",20.0,70.0,0.0,10.0,0.0,0.0
13119,Male,United States,38.0,Employed full-time,Yes,Data Scientist,Tableau,Neural Nets,Python,Master's degree,A social science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",15.0,35.0,30.0,20.0,0.0,0.0
13121,Male,Israel,39.0,Employed full-time,Yes,Data Scientist,Other,Deep learning,Python,Master's degree,Psychology,3 to 5 years,Work,20.0,30.0,30.0,0.0,20.0,0.0
13122,Male,United States,33.0,Employed full-time,Yes,Software Developer/Software Engineer,Amazon Machine Learning,Deep learning,Python,Doctoral degree,Computer Science,6 to 10 years,University courses,10.0,10.0,10.0,70.0,0.0,0.0
13123,Male,India,37.0,Employed full-time,Yes,Data Scientist,Amazon Machine Learning,Deep learning,Python,Bachelor's degree,Electrical Engineering,1 to 2 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
13125,Male,Brazil,28.0,Employed full-time,Yes,Data Scientist,Cloudera,Bayesian Methods,Python,Master's degree,Computer Science,3 to 5 years,University courses,10.0,30.0,50.0,10.0,0.0,0.0
13128,Male,United States,37.0,Employed full-time,Yes,Scientist/Researcher,DataRobot,Deep learning,Scala,Doctoral degree,Computer Science,6 to 10 years,University courses,10.0,0.0,30.0,60.0,0.0,0.0
13130,Male,Other,41.0,Employed full-time,Yes,Data Scientist,Jupyter notebooks,Other,Python,Doctoral degree,Computer Science,More than 10 years,Work,5.0,10.0,70.0,5.0,10.0,0.0
13131,Male,Turkey,37.0,Employed full-time,Yes,Other,Python,Deep learning,C/C++/C#,Doctoral degree,Other,More than 10 years,Self-taught,40.0,5.0,20.0,30.0,5.0,0.0
13136,Male,Canada,50.0,Employed full-time,Yes,Predictive Modeler,TensorFlow,Proprietary Algorithms,Python,Doctoral degree,Mathematics or statistics,1 to 2 years,Self-taught,60.0,0.0,20.0,20.0,0.0,0.0
13138,Male,United States,45.0,Employed full-time,Yes,Other,Spark / MLlib,Deep learning,Python,Master's degree,A humanities discipline,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",10.0,25.0,15.0,50.0,0.0,0.0
13140,Male,Germany,36.0,Employed full-time,Yes,Data Analyst,Weka,"Ensemble Methods (e.g. boosting, bagging)",R,Master's degree,Computer Science,6 to 10 years,Self-taught,60.0,20.0,10.0,10.0,0.0,0.0
13141,Male,South Africa,34.0,Employed full-time,Yes,Researcher,Hadoop/Hive/Pig,Random Forests,SQL,Some college/university study without earning a bachelor's degree,A humanities discipline,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",30.0,60.0,10.0,0.0,0.0,0.0
13142,Male,Poland,37.0,Employed full-time,No,Other,Python,Deep learning,Python,Master's degree,Engineering (non-computer focused),Less than a year,Self-taught,80.0,0.0,0.0,0.0,20.0,0.0
13151,Female,Ireland,34.0,Employed full-time,Yes,Data Analyst,TensorFlow,Anomaly Detection,R,Doctoral degree,Other,More than 10 years,Self-taught,10.0,50.0,10.0,20.0,10.0,0.0
13157,Male,United States,30.0,Employed full-time,Yes,Machine Learning Engineer,TensorFlow,Deep learning,Python,Master's degree,A humanities discipline,6 to 10 years,Self-taught,25.0,25.0,25.0,0.0,25.0,0.0
13158,Male,Australia,35.0,Employed full-time,Yes,Data Analyst,R,"Ensemble Methods (e.g. boosting, bagging)",Python,Master's degree,Management information systems,3 to 5 years,Self-taught,40.0,30.0,30.0,0.0,0.0,0.0
13161,Male,Brazil,29.0,Employed full-time,No,Programmer,TensorFlow,Deep learning,R,Bachelor's degree,Mathematics or statistics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",50.0,40.0,0.0,10.0,0.0,0.0
13162,Male,Iran,34.0,Employed full-time,Yes,Data Analyst,TensorFlow,Deep learning,SQL,Master's degree,Other,3 to 5 years,University courses,20.0,30.0,20.0,20.0,0.0,10.0
13164,Male,India,32.0,Employed full-time,No,Data Analyst,Amazon Web services,Deep learning,Python,Bachelor's degree,A health science,I don't write code to analyze data,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
13165,Female,United States,42.0,Employed full-time,Yes,Data Scientist,SAS Base,Support Vector Machines (SVM),R,Master's degree,Other,1 to 2 years,University courses,40.0,5.0,25.0,20.0,10.0,0.0
13166,Male,United States,35.0,Employed full-time,Yes,Other,Python,Deep learning,Python,Bachelor's degree,Electrical Engineering,Less than a year,Self-taught,60.0,40.0,0.0,0.0,0.0,0.0
13168,Male,United States,32.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Doctoral degree,Physics,6 to 10 years,Self-taught,30.0,30.0,20.0,10.0,10.0,0.0
13171,Male,Poland,37.0,Employed full-time,Yes,Scientist/Researcher,R,Deep learning,R,Doctoral degree,A social science,3 to 5 years,University courses,40.0,40.0,10.0,10.0,0.0,0.0
13175,Male,Brazil,22.0,Employed part-time,No,Software Developer/Software Engineer,R,Deep learning,Python,Bachelor's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",30.0,50.0,0.0,10.0,0.0,10.0
13177,Male,Russia,22.0,Employed full-time,Yes,Programmer,Python,Text Mining,Python,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,"Online courses (coursera, udemy, edx, etc.)",60.0,25.0,10.0,0.0,5.0,0.0
13179,Male,United States,31.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Master's degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",40.0,50.0,0.0,0.0,10.0,0.0
13184,Male,United States,35.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Doctoral degree,Physics,More than 10 years,Self-taught,40.0,5.0,50.0,0.0,5.0,0.0
13187,Male,Spain,47.0,"Independent contractor, freelancer, or self-employed",Yes,Data Analyst,Amazon Web services,Deep learning,Python,Master's degree,Computer Science,6 to 10 years,Self-taught,30.0,10.0,30.0,29.0,1.0,0.0
13189,Male,Spain,32.0,Employed full-time,Yes,Data Analyst,TensorFlow,Deep learning,R,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,"Online courses (coursera, udemy, edx, etc.)",0.0,70.0,30.0,0.0,0.0,0.0
13190,Male,People 's Republic of China,29.0,Employed full-time,Yes,Data Miner,Spark / MLlib,"Ensemble Methods (e.g. boosting, bagging)",Python,Master's degree,Psychology,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",40.0,50.0,10.0,0.0,0.0,0.0
13197,Female,Portugal,52.0,Employed full-time,Yes,Other,Hadoop/Hive/Pig,Deep learning,R,Doctoral degree,Computer Science,6 to 10 years,Self-taught,30.0,10.0,0.0,60.0,0.0,0.0
13199,Male,Canada,43.0,Employed full-time,No,Engineer,Python,Neural Nets,Python,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),Less than a year,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
13201,Male,United States,23.0,Employed full-time,Yes,Other,Hadoop/Hive/Pig,Survival Analysis,Python,Master's degree,Mathematics or statistics,1 to 2 years,University courses,20.0,20.0,15.0,45.0,0.0,0.0
13202,Male,Japan,27.0,Employed full-time,No,Engineer,Python,Support Vector Machines (SVM),Python,Master's degree,Engineering (non-computer focused),1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
13206,Male,United States,67.0,Retired,Yes,Software Developer/Software Engineer,TensorFlow,Genetic & Evolutionary Algorithms,C/C++/C#,Doctoral degree,Physics,More than 10 years,Self-taught,90.0,10.0,0.0,0.0,0.0,0.0
13211,Male,People 's Republic of China,22.0,Employed full-time,Yes,Data Miner,Spark / MLlib,Random Forests,Scala,Bachelor's degree,Computer Science,1 to 2 years,Work,40.0,40.0,20.0,0.0,0.0,0.0
13213,Male,United States,40.0,Employed full-time,Yes,Data Scientist,C/C++,Bayesian Methods,Python,Doctoral degree,Physics,3 to 5 years,Self-taught,80.0,0.0,20.0,0.0,0.0,0.0
13216,Male,United States,63.0,Employed full-time,Yes,Researcher,RapidMiner (commercial version),Bayesian Methods,SQL,Doctoral degree,Other,More than 10 years,University courses,10.0,10.0,50.0,30.0,0.0,0.0
13219,Male,United States,50.0,Employed full-time,Yes,Data Scientist,Mathematica,Deep learning,R,Doctoral degree,Mathematics or statistics,More than 10 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
13220,Male,Colombia,31.0,Employed full-time,Yes,Business Analyst,Spark / MLlib,"Ensemble Methods (e.g. boosting, bagging)",R,Master's degree,Mathematics or statistics,6 to 10 years,University courses,10.0,10.0,0.0,80.0,0.0,0.0
13223,Male,United States,35.0,Employed full-time,Yes,Data Scientist,Other,Genetic & Evolutionary Algorithms,Python,Bachelor's degree,A social science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",0.0,50.0,50.0,0.0,0.0,0.0
13224,Female,Mexico,34.0,Employed full-time,Yes,Scientist/Researcher,Microsoft Excel Data Mining,Monte Carlo Methods,R,Doctoral degree,Mathematics or statistics,More than 10 years,Work,10.0,20.0,10.0,40.0,20.0,0.0
13239,Male,Other,25.0,Employed part-time,No,Computer Scientist,Amazon Web services,Deep learning,Python,Bachelor's degree,Computer Science,1 to 2 years,University courses,22.0,15.0,10.0,53.0,0.0,0.0
13242,Male,India,34.0,Employed full-time,No,Business Analyst,Spark / MLlib,Anomaly Detection,Python,Bachelor's degree,Engineering (non-computer focused),I don't write code to analyze data,"Online courses (coursera, udemy, edx, etc.)",25.0,75.0,0.0,0.0,0.0,0.0
13251,Male,United States,38.0,Employed full-time,No,DBA/Database Engineer,R,Cluster Analysis,SQL,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
13253,Male,Mexico,31.0,Employed full-time,Yes,Software Developer/Software Engineer,Python,Anomaly Detection,C/C++/C#,Bachelor's degree,Mathematics or statistics,1 to 2 years,Self-taught,20.0,0.0,40.0,40.0,0.0,0.0
13254,Male,Brazil,24.0,Employed part-time,Yes,Scientist/Researcher,TensorFlow,Deep learning,Python,Bachelor's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",40.0,15.0,25.0,10.0,10.0,0.0
13255,Male,Brazil,37.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Master's degree,Computer Science,1 to 2 years,University courses,30.0,30.0,0.0,30.0,10.0,0.0
13257,Male,United States,32.0,Employed full-time,Yes,Data Analyst,Python,Anomaly Detection,R,Master's degree,Mathematics or statistics,3 to 5 years,University courses,10.0,10.0,0.0,70.0,0.0,10.0
13260,Male,Italy,42.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Deep learning,Java,Master's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",5.0,90.0,0.0,0.0,5.0,0.0
13261,Male,United States,30.0,Employed full-time,Yes,Data Scientist,I don't plan on learning a new tool/technology,Bayesian Methods,Python,Master's degree,A social science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",40.0,40.0,0.0,20.0,0.0,0.0
13264,Male,Mexico,36.0,Employed full-time,Yes,Data Miner,Hadoop/Hive/Pig,Deep learning,Python,Bachelor's degree,Mathematics or statistics,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,35.0,5.0,30.0,10.0,0.0
13266,Male,United States,36.0,Employed full-time,Yes,Scientist/Researcher,IBM SPSS Statistics,Time Series Analysis,Python,Doctoral degree,Other,3 to 5 years,University courses,25.0,50.0,15.0,10.0,0.0,0.0
13269,Male,United States,50.0,Employed full-time,No,Machine Learning Engineer,TensorFlow,Neural Nets,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,Work,60.0,0.0,40.0,0.0,0.0,0.0
13271,Male,India,32.0,Employed full-time,Yes,Data Scientist,DataRobot,Deep learning,Python,Master's degree,Computer Science,6 to 10 years,Work,10.0,30.0,30.0,30.0,0.0,0.0
13272,Female,Poland,27.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Deep learning,Python,Master's degree,Physics,3 to 5 years,Work,60.0,18.0,10.0,10.0,2.0,0.0
13273,Male,United States,46.0,Employed full-time,Yes,Machine Learning Engineer,TensorFlow,Genetic & Evolutionary Algorithms,Java,Master's degree,Physics,More than 10 years,University courses,50.0,0.0,40.0,0.0,10.0,0.0
13274,Male,Netherlands,52.0,Employed full-time,Yes,Data Analyst,Python,Deep learning,R,Bachelor's degree,Biology,1 to 2 years,Self-taught,70.0,0.0,10.0,20.0,0.0,0.0
13276,Male,United Kingdom,36.0,Employed full-time,Yes,Business Analyst,KNIME (free version),Deep learning,Python,Bachelor's degree,Computer Science,More than 10 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
13277,Female,United States,50.0,Employed full-time,Yes,Machine Learning Engineer,Python,Deep learning,Python,Master's degree,Engineering (non-computer focused),More than 10 years,Self-taught,70.0,30.0,0.0,0.0,0.0,0.0
13279,Male,Other,22.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Monte Carlo Methods,Python,Master's degree,Computer Science,1 to 2 years,University courses,80.0,5.0,0.0,10.0,5.0,0.0
13280,Male,Brazil,51.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Deep learning,Python,Doctoral degree,Physics,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",40.0,30.0,20.0,0.0,10.0,0.0
13281,Male,Denmark,28.0,Employed full-time,No,Business Analyst,Python,Social Network Analysis,Python,Master's degree,"Information technology, networking, or system administration",Less than a year,University courses,0.0,40.0,0.0,60.0,0.0,0.0
13282,Male,United States,29.0,Employed full-time,Yes,Data Scientist,Amazon Machine Learning,Genetic & Evolutionary Algorithms,Python,Bachelor's degree,Mathematics or statistics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",40.0,20.0,30.0,10.0,0.0,0.0
13283,Male,United States,26.0,Employed full-time,Yes,Software Developer/Software Engineer,SQL,Time Series Analysis,Python,Master's degree,Electrical Engineering,3 to 5 years,University courses,20.0,20.0,10.0,40.0,10.0,0.0
13285,Female,India,34.0,Employed full-time,Yes,Researcher,Amazon Machine Learning,Time Series Analysis,R,Master's degree,Computer Science,1 to 2 years,Kaggle competitions,10.0,30.0,20.0,10.0,20.0,10.0
13286,Male,United States,28.0,Employed full-time,Yes,Scientist/Researcher,Google Cloud Compute,Time Series Analysis,Python,Doctoral degree,Engineering (non-computer focused),6 to 10 years,University courses,20.0,15.0,15.0,50.0,0.0,0.0
13287,Male,France,27.0,Employed full-time,Yes,Scientist/Researcher,Google Cloud Compute,"Ensemble Methods (e.g. boosting, bagging)",Python,Doctoral degree,Mathematics or statistics,1 to 2 years,Self-taught,40.0,10.0,40.0,0.0,5.0,5.0
13294,Male,United States,53.0,Employed full-time,Yes,Data Analyst,TensorFlow,Time Series Analysis,Python,Master's degree,Physics,More than 10 years,University courses,0.0,10.0,10.0,60.0,20.0,0.0
13295,Male,Mexico,48.0,Employed full-time,Yes,Data Scientist,TensorFlow,Proprietary Algorithms,C/C++/C#,Master's degree,Mathematics or statistics,More than 10 years,Work,30.0,5.0,60.0,4.0,1.0,0.0
13297,Male,Brazil,32.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Anomaly Detection,C/C++/C#,Doctoral degree,Computer Science,6 to 10 years,University courses,40.0,0.0,20.0,40.0,0.0,0.0
13300,Male,Egypt,38.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Deep learning,Python,Doctoral degree,"Information technology, networking, or system administration",More than 10 years,Work,40.0,40.0,10.0,0.0,10.0,0.0
13305,Female,France,22.0,Employed full-time,Yes,Data Analyst,Microsoft Azure Machine Learning,Deep learning,Matlab,Master's degree,Mathematics or statistics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",10.0,25.0,5.0,50.0,10.0,0.0
13312,Male,United States,71.0,Retired,Yes,Software Developer/Software Engineer,TensorFlow,Neural Nets,Python,Master's degree,Electrical Engineering,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",50.0,45.0,0.0,0.0,5.0,0.0
13314,Male,Brazil,36.0,Employed full-time,Yes,Other,TensorFlow,Deep learning,Python,Bachelor's degree,Electrical Engineering,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",50.0,10.0,15.0,5.0,20.0,0.0
13316,Male,Egypt,49.0,Employed full-time,Yes,Scientist/Researcher,Spark / MLlib,Deep learning,R,Doctoral degree,Electrical Engineering,More than 10 years,University courses,50.0,0.0,20.0,30.0,0.0,0.0
13317,Male,Russia,50.0,Employed full-time,Yes,Other,TensorFlow,Deep learning,Python,I prefer not to answer,Computer Science,More than 10 years,Work,60.0,20.0,20.0,0.0,0.0,0.0
13318,Female,United States,42.0,Employed full-time,Yes,Data Scientist,Hadoop/Hive/Pig,Deep learning,Python,Doctoral degree,Computer Science,3 to 5 years,University courses,10.0,20.0,40.0,20.0,0.0,10.0
13320,Male,Spain,46.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,TensorFlow,Deep learning,R,Master's degree,Computer Science,Less than a year,Self-taught,25.0,25.0,0.0,25.0,25.0,0.0
13322,Male,Russia,24.0,Employed full-time,No,Business Analyst,I don't plan on learning a new tool/technology,"Ensemble Methods (e.g. boosting, bagging)",R,Master's degree,A social science,3 to 5 years,Self-taught,40.0,20.0,0.0,40.0,0.0,0.0
13325,Male,United States,27.0,Employed full-time,Yes,Data Analyst,I don't plan on learning a new tool/technology,Deep learning,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",10.0,20.0,20.0,0.0,50.0,0.0
13327,Male,New Zealand,65.0,Retired,Yes,Scientist/Researcher,Stan,Bayesian Methods,R,Doctoral degree,Mathematics or statistics,More than 10 years,University courses,90.0,10.0,0.0,0.0,0.0,0.0
13329,Male,Germany,33.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Master's degree,Computer Science,Less than a year,University courses,50.0,0.0,50.0,0.0,0.0,0.0
13333,Male,South Korea,43.0,Employed full-time,No,Other,R,Deep learning,Python,Master's degree,Engineering (non-computer focused),Less than a year,Other,10.0,0.0,0.0,0.0,0.0,90.0
13336,Male,United States,29.0,Employed full-time,Yes,Predictive Modeler,Google Cloud Compute,Social Network Analysis,Python,Master's degree,Physics,6 to 10 years,Self-taught,50.0,20.0,20.0,10.0,0.0,0.0
13339,Male,Germany,24.0,Employed part-time,Yes,Machine Learning Engineer,TensorFlow,Genetic & Evolutionary Algorithms,Python,Bachelor's degree,Physics,3 to 5 years,University courses,40.0,0.0,10.0,50.0,0.0,0.0
13340,Male,United States,61.0,Employed full-time,No,Business Analyst,TensorFlow,Factor Analysis,Python,Doctoral degree,Engineering (non-computer focused),More than 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,60.0,0.0,0.0,20.0,0.0
13344,Male,Other,39.0,Employed full-time,Yes,Data Analyst,Hadoop/Hive/Pig,Deep learning,R,Master's degree,Computer Science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,60.0,10.0,0.0,10.0,0.0
13345,Male,United States,25.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,Engineering (non-computer focused),3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",5.0,40.0,5.0,20.0,30.0,0.0
13350,Male,United States,34.0,Employed full-time,Yes,Data Scientist,I don't plan on learning a new tool/technology,Time Series Analysis,Python,Master's degree,Engineering (non-computer focused),6 to 10 years,University courses,20.0,0.0,60.0,20.0,0.0,0.0
13351,Male,Canada,49.0,Employed full-time,Yes,Predictive Modeler,Amazon Web services,Deep learning,R,Master's degree,Electrical Engineering,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",25.0,25.0,50.0,0.0,0.0,0.0
13352,Male,United States,50.0,Employed full-time,Yes,Other,DataRobot,Time Series Analysis,Python,Master's degree,Computer Science,3 to 5 years,Self-taught,40.0,20.0,0.0,20.0,0.0,20.0
13354,Male,Japan,36.0,Employed full-time,Yes,Software Developer/Software Engineer,Python,Association Rules,Python,Master's degree,Other,More than 10 years,Self-taught,95.0,0.0,5.0,0.0,0.0,0.0
13356,Male,New Zealand,40.0,Employed full-time,No,Software Developer/Software Engineer,R,Random Forests,R,Bachelor's degree,Computer Science,I don't write code to analyze data,University courses,0.0,7.0,20.0,70.0,3.0,0.0
13358,Male,Other,40.0,Employed full-time,Yes,Scientist/Researcher,Other,Deep learning,Python,Doctoral degree,Physics,More than 10 years,Self-taught,90.0,10.0,0.0,0.0,0.0,0.0
13361,Female,United Kingdom,46.0,Employed full-time,Yes,Operations Research Practitioner,R,Monte Carlo Methods,SQL,Bachelor's degree,Mathematics or statistics,I don't write code to analyze data,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
13365,Male,Colombia,29.0,Employed full-time,Yes,Data Analyst,TensorFlow,Neural Nets,Python,Master's degree,Electrical Engineering,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",0.0,20.0,20.0,60.0,0.0,0.0
13366,Female,United States,38.0,Employed full-time,Yes,Scientist/Researcher,Jupyter notebooks,Deep learning,Python,Master's degree,Engineering (non-computer focused),3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",20.0,50.0,30.0,0.0,0.0,0.0
13368,Female,United States,41.0,Employed full-time,Yes,Machine Learning Engineer,Amazon Machine Learning,Anomaly Detection,Python,Master's degree,A humanities discipline,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",0.0,70.0,20.0,0.0,10.0,0.0
